E100|Curcumin|Kurkumin
E402|Potassium alginate|Kaliumalginat
E403|Ammonium alginate|Ammoniumalginat
E404|Calcium alginate|Calciumalginat
E405|Propane-1,2-diol alginate|Propylenglycolalginat
E406|Agar|Agar-Agar
E407|Carrageenan|Carrageen
E407a|Processed eucheuma seaweed|Verarbeitete Eucheuma-Algen
E410|Locust bean gum|Johannisbrotkernmehl
E412|Guar gum|Guarkernmehl
E413|Tragacanth|Traganth
E414|Acacia gum|Gummi arabicum
E415|Xanthan gum|Xanthan
E416|Karaya gum|Karaya
E417|Tara gum|Tarakernmehl
E418|Gellan gum|Gellan
E420|Sorbitol|Sorbit
E421|Mannitol|Mannit
E422|Glycerol|Glycerin
E423|Octenyl succinic acid modified gum arabic|Octenylsuccinat-Gummi arabicum
E425|Konjac|Konjak
E426|Soybean hemicellulose|Sojabohnen-Hemicellulose
E427|Cassia gum|Cassiakernmehl
E428|Gelatine|Gelatine
E431|Polyoxyethylene (40) stearate|Polyoxyethylen(40)-stearat
E432|Polysorbate 20|Polysorbat 20
E433|Polysorbate 80|Polysorbat 80
E434|Polysorbate 40|Polysorbat 40
E435|Polysorbate 60|Polysorbat 60
E436|Polysorbate 65|Polysorbat 65
E440|Pectins|Pektine
E441|Gelatine|Gelatine
E442|Ammonium phosphatides|Ammoniumphosphatide
E444|Sucrose acetate isobutyrate|Saccharoseacetatisobutyrat
E445|Glycerol esters of wood rosin|Glycerinester aus Wurzelharz
E450|Diphosphates|Diphosphate
E451|Triphosphates|Triphosphate
E452|Polyphosphates|Polyphosphate
E456|Potassium polyaspartate|Kaliumpolyaspartat
E459|Beta-cyclodextrin|Beta-Cyclodextrin
E460|Cellulose|Cellulose
E461|Methyl cellulose|Methylcellulose
E462|Ethyl cellulose|Ethylcellulose
E463|Hydroxypropyl cellulose|Hydroxypropylcellulose
E463a|Low-substituted hydroxypropyl cellulose|Niedrig substituierte Hydroxypropylcellulose
E464|Hydroxypropyl methyl cellulose|Hydroxypropylmethylcellulose
E465|Ethyl methyl cellulose|Ethylmethylcellulose
E466|Sodium carboxymethyl cellulose|Natrium-Carboxymethylcellulose
E468|Cross-linked sodium carboxymethyl cellulose|Vernetze Natrium-Carboxymethylcellulose
E469|Enzymatically hydrolysed carboxymethyl cellulose|Enzymatisch hydrolysierte Carboxymethylcellulose
E470a|Sodium, potassium and calcium salts of fatty acids|Natrium-, Kalium- und Calciumsalze der Speisefettsäuren
E470b|Magnesium salts of fatty acids|Magnesiumsalze der Speisefettsäuren
E471|Mono- and diglycerides of fatty acids|Mono- und Diglyceride von Speisefettsäuren
E472a|Acetic acid esters of mono- and diglycerides|Essigsäureester der Mono- und Diglyceride
E472b|Lactic acid esters of mono- and diglycerides|Milchsäureester der Mono- und Diglyceride
E472c|Citric acid esters of mono- and diglycerides|Citronensäureester der Mono- und Diglyceride
E472d|Tartaric acid esters of mono- and diglycerides|Weinsäureester der Mono- und Diglyceride
E472e|Mono- and diacetyltartaric acid esters of mono- and diglycerides|Mono- und Diacetylweinsäureester der Mono- und Diglyceride
E472f|Mixed acetic and tartaric acid esters of mono- and diglycerides|Gemischte Essig- und Weinsäureester der Mono- und Diglyceride
E473|Sucrose esters of fatty acids|Zuckerester von Speisefettsäuren
E474|Sucroglycerides|Zuckerglyceride
E475|Polyglycerol esters of fatty acids|Polyglycerinester von Speisefettsäuren
E476|Polyglycerol polyricinoleate|Polyglycerin-Polyricinoleat
E477|Propane-1,2-diol esters of fatty acids|Propylenglycolester von Speisefettsäuren
E479b|Thermally oxidised soya bean oil with mono- and diglycerides|Thermisch oxidiertes Sojaöl mit Mono- und Diglyceriden
E481|Sodium stearoyl-2-lactylate|Natriumstearoyl-2-lactylat
E482|Calcium stearoyl-2-lactylate|Calciumstearoyl-2-lactylat
E483|Stearyl tartrate|Stearyltartrat
E491|Sorbitan monostearate|Sorbitanmonostearat
E492|Sorbitan tristearate|Sorbitantristearat
E493|Sorbitan monolaurate|Sorbitanmonolaurat
E494|Sorbitan monooleate|Sorbitanmonooleat
E495|Sorbitan monopalmitate|Sorbitanmonopalmitat
E499|Stigmasterol-rich plant sterols|Stigmasterinreiche Phytosterine
E500|Sodium carbonates|Natriumcarbonate
E501|Potassium carbonates|Kaliumcarbonate
E503|Ammonium carbonates|Ammoniumcarbonate
E504|Magnesium carbonates|Magnesiumcarbonate
E507|Hydrochloric acid|Salzsäure
E508|Potassium chloride|Kaliumchlorid
E509|Calcium chloride|Calciumchlorid
E511|Magnesium chloride|Magnesiumchlorid
E512|Stannous chloride|Zinnchlorid
E513|Sulphuric acid|Schwefelsäure
E514|Sodium sulphates|Natriumsulfate
E515|Potassium sulphates|Kaliumsulfate
E516|Calcium sulphate|Calciumsulfat
E517|Ammonium sulphate|Ammoniumsulfat
E520|Aluminium sulphate|Aluminiumsulfat
E521|Aluminium sodium sulphate|Aluminiumnatriumsulfat
E522|Aluminium potassium sulphate|Aluminiumkaliumsulfat
E523|Aluminium ammonium sulphate|Aluminiumammoniumsulfat
E524|Sodium hydroxide|Natriumhydroxid
E525|Potassium hydroxide|Kaliumhydroxid
E526|Calcium hydroxide|Calciumhydroxid
E527|Ammonium hydroxide|Ammoniumhydroxid
E528|Magnesium hydroxide|Magnesiumhydroxid
E529|Calcium oxide|Calciumoxid
E530|Magnesium oxide|Magnesiumoxid
E534|Iron tartrate|Eisentartrat
E535|Sodium ferrocyanide|Natriumferrocyanid
E536|Potassium ferrocyanide|Kaliumferrocyanid
E538|Calcium ferrocyanide|Calciumferrocyanid
E541|Sodium aluminium phosphate|Natriumaluminiumphosphat
E542|Bone phosphate|Knochenphosphat
E551|Silicon dioxide|Siliciumdioxid
E552|Calcium silicate|Calciumsilicat
E553a|Magnesium silicate|Magnesiumsilicat
E553b|Talc|Talkum
E554|Sodium aluminium silicate|Natriumaluminiumsilicat
E555|Potassium aluminium silicate|Kaliumaluminiumsilicat
E570|Fatty acids|Speisefettsäuren
E574|Gluconic acid|Gluconsäure
E575|Glucono-delta-lactone|Glucono-delta-lacton
E576|Sodium gluconate|Natriumgluconat
E577|Potassium gluconate|Kaliumgluconat
E578|Calcium gluconate|Calciumgluconat
E579|Ferrous gluconate|Eisengluconat
E585|Ferrous lactate|Eisenlactat
E586|4-Hexylresorcinol|4-Hexylresorcin
E620|Glutamic acid|Glutaminsäure
E621|Monosodium glutamate|Mononatriumglutamat
E622|Monopotassium glutamate|Monokaliumglutamat
E623|Calcium diglutamate|Calciumdiglutamat
E624|Monoammonium glutamate|Monoammoniumglutamat
E625|Magnesium diglutamate|Magnesiumdiglutamat
E626|Guanylic acid|Guanylsäure
E627|Disodium guanylate|Dinatriumguanylat
E628|Dipotassium guanylate|Dikaliumguanylat
E629|Calcium guanylate|Calciumguanylat
E630|Inosinic acid|Inosinsäure
E631|Disodium inosinate|Dinatriuminosinat
E632|Dipotassium inosinate|Dikaliuminosinat
E633|Calcium inosinate|Calciuminosinat
E634|Calcium 5'-ribonucleotides|Calcium-5'-ribonucleotide
E635|Disodium 5'-ribonucleotides|Dinatrium-5'-ribonucleotide
E640|Glycine and its sodium salt|Glycin und dessen Natriumsalz
E641|L-leucine|L-Leucin
E650|Zinc acetate|Zinkacetat
E900|Dimethylpolysiloxane|Dimethylpolysiloxan
E901|Beeswax|Bienenwachs
E902|Candelilla wax|Candelillawachs
E903|Carnauba wax|Carnaubawachs
E904|Shellac|Schellack
E905|Microcrystalline wax|Mikrokristallines Wachs
E907|Hydrogenated poly-1-decene|Hydriertes Poly-1-decen
E912|Montan acid esters|Montansäureester
E913|Lanolin|Lanolin
E914|Oxidised polyethylene wax|Oxidiertes Polyethylenwachs
E920|L-cysteine|L-Cystein
E921|L-cystine|L-Cystin
E927b|Carbamide|Carbamid
E938|Argon|Argon
E939|Helium|Helium
E941|Nitrogen|Stickstoff
E942|Nitrous oxide|Distickstoffoxid
E943a|Butane|Butan
E943b|Isobutane|Isobutan
E944|Propane|Propan
E948|Oxygen|Sauerstoff
E949|Hydrogen|Wasserstoff
E950|Acesulfame K|Acesulfam K
E951|Aspartame|Aspartam
E952|Cyclamic acid and its salts|Cyclaminsäure und ihre Salze
E953|Isomalt|Isomalt
E954|Saccharin and its salts|Saccharin und seine Salze
E955|Sucralose|Sucralose
E957|Thaumatin|Thaumatin
E959|Neohesperidine DC|Neohesperidin DC
E960a|Steviol glycosides from stevia|Steviolglycoside aus Stevia
E960b|Steviol glycosides from fermentation|Steviolglycoside aus Fermentation
E960c|Enzymatically produced steviol glycosides|Enzymatisch hergestellte Steviolglycoside
E960d|Glucosylated steviol glycosides|Glucosylierte Steviolglycoside
E961|Neotame|Neotam
E962|Salt of aspartame-acesulfame|Aspartam-Acesulfamsalz
E964|Polyglycitol syrup|Polyglycitsirup
E965|Maltitol|Maltit
E966|Lactitol|Lactit
E967|Xylitol|Xylit
E968|Erythritol|Erythrit
E969|Advantame|Advantam
E999|Quillaia extract|Quillajaextrakt
E1000|Cholic acid|Cholsäure
E1103|Invertase|Invertase
E1105|Lysozyme|Lysozym
E1200|Polydextrose|Polydextrose
E1201|Polyvinylpyrrolidone|Polyvinylpyrrolidon
E1202|Polyvinylpolypyrrolidone|Polyvinylpolypyrrolidon
E1203|Polyvinyl alcohol|Polyvinylalkohol
E1204|Pullulan|Pullulan
E1205|Basic methacrylate copolymer|Basisches Methacrylat-Copolymer
E1206|Neutral methacrylate copolymer|Neutrales Methacrylat-Copolymer
E1207|Anionic methacrylate copolymer|Anionisches Methacrylat-Copolymer
E1208|Polyvinylpyrrolidone-vinyl acetate copolymer|PVP-Vinylacetat-Copolymer
E1209|Polyvinyl alcohol-polyethylene glycol copolymer|PVA-PEG-Copolymer
E1210|Carbomer|Carbomer
E1404|Oxidised starch|Oxidierte Stärke
E1410|Monostarch phosphate|Monostärkephosphat
E1412|Distarch phosphate|Distärkephosphat
E1413|Phosphated distarch phosphate|Phosphatiertes Distärkephosphat
E1414|Acetylated distarch phosphate|Acetyliertes Distärkephosphat
E1420|Acetylated starch|Acetylierte Stärke
E1422|Acetylated distarch adipate|Acetyliertes Distärkeadipat
E1440|Hydroxypropyl starch|Hydroxypropylstärke
E1442|Hydroxypropyl distarch phosphate|Hydroxypropyldistärkephosphat
E1450|Starch sodium octenyl succinate|Stärke-Natriumoctenylsuccinat
E1451|Acetylated oxidised starch|Acetylierte oxidierte Stärke
E1452|Starch aluminium octenyl succinate|Stärkealuminiumoctenylsuccinat
E1505|Triethyl citrate|Triethylcitrat
E1517|Glyceryl diacetate|Glycerindiacetat
E1518|Glyceryl triacetate|Glycerintriacetat
E1519|Benzyl alcohol|Benzylalkohol
E1520|Propane-1,2-diol|Propylenglycol
E1521|Polyethylene glycol|Polyethylenglycol
